"date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"2022-12-09",1908,"FIFA World Cup","Croatia","Brazil",78.99,93.47,0.2264,0.7736,0,0.68,1.72,1,1,0.62,1.9,1.1,2.74,1.05,1.05
"2022-11-26",1908,"FIFA World Cup","Argentina","Mexico",86.09,73.48,0.5079,0.1993,0.2928,1.45,0.8,2,0,0.26,0.18,0.72,0.45,1.66,0
"2022-12-01",1908,"FIFA World Cup","Croatia","Belgium",80.87,79.44,0.3881,0.3253,0.2866,1.38,1.24,0,0,0.63,2.62,1.44,1.92,0,0
"2022-11-30",1908,"FIFA World Cup","Tunisia","France",65.92,90.15,0.1116,0.651,0.2374,0.6,1.82,1,0,0.29,0.43,0.61,1.21,1.05,0
"2022-12-04",1908,"FIFA World Cup","England","Senegal",86.97,75.47,0.6814,0.3186,0,1.47,0.83,3,0,0.87,1.09,0.97,0.62,3.15,0
"2022-12-06",1908,"FIFA World Cup","Portugal","Switzerland",85.8,78.51,0.6158,0.3842,0,1.51,1.08,6,1,1.34,0.98,1.42,0.7,5.78,1.05
"2022-11-26",1908,"FIFA World Cup","France","Denmark",89.25,78.87,0.5064,0.2192,0.2744,1.6,0.96,2,1,2.06,0.5,2.3,0.7,2.1,1.05
"2022-11-25",1908,"FIFA World Cup","Netherlands","Ecuador",86.07,74.37,0.4949,0.2248,0.2803,1.55,0.95,1,1,0.07,0.8,0.43,1.09,1.05,1.05
"2022-12-10",1908,"FIFA World Cup","England","France",87.59,87.53,0.516,0.484,0,1.29,1.23,1,2,2.42,0.97,1.4,1.53,1.05,2.1
"2022-11-24",1908,"FIFA World Cup","Portugal","Ghana",87.77,58.63,0.6974,0.0912,0.2114,2,0.56,3,2,1.89,0.52,1.63,0.27,2.9,2.1
"2022-11-27",1908,"FIFA World Cup","Belgium","Morocco",80.54,74.67,0.407,0.3057,0.2873,1.41,1.18,0,2,0.88,0.48,0.91,0.42,0,1.58
"2022-11-28",1908,"FIFA World Cup","South Korea","Ghana",66.44,60.03,0.443,0.2348,0.3222,1.23,0.81,2,3,1.56,0.51,2.31,0.73,2.1,3.15
"2022-11-27",1908,"FIFA World Cup","Croatia","Canada",78.46,73.84,0.4069,0.2893,0.3037,1.29,1.05,4,1,1.56,0.37,1.6,0.85,3.68,1.05
"2022-12-04",1908,"FIFA World Cup","France","Poland",88.57,65.77,0.8133,0.1867,0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,1.05
"2022-12-01",1908,"FIFA World Cup","Costa Rica","Germany",52.9,88.86,0.0512,0.8045,0.1442,0.5,2.55,2,4,1.27,4.41,0.33,5.9,2.1,3.72
